customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00000,Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,19.97,127.39,No
CUST-00001,Female,1,No,No,49,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Mailed check,76.79,3786.56,No
CUST-00002,Male,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,52.0,149.39,No
CUST-00003,Male,0,Yes,No,22,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),89.77,2004.82,Yes
CUST-00004,Male,0,Yes,No,35,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,No,Credit card (automatic),55.02,1911.49,No
CUST-00005,Female,1,Yes,No,72,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),80.86,5824.9,Yes
CUST-00006,Male,0,Yes,Yes,70,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,21.57,1564.41,No
CUST-00007,Male,0,Yes,No,36,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,43.58,1562.59,No
CUST-00008,Male,0,Yes,No,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,32.16,417.56,No
CUST-00009,Female,0,Yes,Yes,61,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,76.38,4761.83,No
CUST-00010,Male,0,Yes,Yes,63,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.91,5021.98,No
CUST-00011,Male,0,Yes,No,28,No,No phone service,DSL,No,No,Yes,No,No,No,One year,Yes,Mailed check,46.09,1228.75,No
CUST-00012,Male,0,No,No,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),18.25,907.8,No
CUST-00013,Male,0,No,Yes,2,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,63.33,69.08,Yes
